,제품명,가격
1,옥주부 제주돼지 돈까스 10팩(등심8+치즈2+소스10),"28,900원"
2,하남쭈꾸미쭈꾸미볶음 500g 3팩,"33,500원"
3,프리미엄 우삼겹(3초구이 샤브) 250gX4팩,"14,900원"
4,씨투엠에듀 예비초등수학 구구단/시계와달력 선택구매 (전2권),"14,550원"
5,레인OK 프리미엄 발수코팅 에탄올워셔 1800ML 3개,"14,500원"
6,DCOVERS/디커버스/반팔티/티셔츠/여성/남자/빅사이즈,"7,900원"
7,10+5% 바캉스룩 폴햄 외 반팔/래쉬가드/팬츠 외,"6,900원"
8,특허받은 프레시 아귀포 (대) 10장 약400g W,"9,500원"
9,단단하고 저장성이 좋은 금곡마을 양파 10kg(장아찌용),"10,000원"
10,나비골 국내산 여름별미 열무김치 4kg,"18,900원"
11,CJ 비비고 사골곰탕 500G x 18개,"20,000원"
12,(쿠폰가 17200원)농할20% 서귀포인정 GAP 제주 하우스감귤 로얄과 2.5kg (S-M) 실중량,"21,500원"
13,오징어 젓갈 1kg / 2개 구매시 오징어젓갈 250g 증정,"9,500원"
14,(카드가능) 기프트코드 10만원 / 구글 기프트카드,"95,000원"
15,단하루 시크릿데이 1+1팩 베스트셀러 생리대/사은품,"3,900원"
16,(무료반품)전상품 균일/아이스 소재/반바지/티셔츠,"6,900원"
17,(메가박스)일반예매권2D-주중/주말,"9,100원"
18,구구 크러스터 아이스크림 660ml 6개,"21,900원"
19,에어프라이어 치킨 떴닭 버팔로 윙700g+봉700g,"16,200원"
20,(할인특가) 종이나라 - K종이접기급수1~3 / 유아창의종이접기교실1~2 : 선택구매,"30,000원"
21,나랑드사이다 제로 345ml 24캔(뚱캔),"12,900원"
22,(뚜레쥬르) 제품교환권 1만원권,"8,000원"
23,식감일품 한입삼겹 통삼겹보쌈 택1 300g x 5팩 1.5kg,"16,800원"
24,면역플러스 어린이 비타민D 아연 젤리 영양제 3박스,"29,900원"
25,지프 여름 인기 로고 티셔츠 ~78%OFF,"19,900원"
26,HBAF 바프 아몬드 5+1봉 마음대로 골라담기,"14,900원"
27,프레시지 알짜배기 듬뿍 해물탕 2-3인분,"12,900원"
